entry_dt,exit_dt,direction,entry_price,exit_price,pnl,mfe_usd,mae_usd,bars_held,mins_held,exit_signal,year,month,dow,entry_hour,is_win
2025-11-25 10:45:00,2025-11-25 11:10:00,LONG,24809.0,24783.0,-53.24,62.0,-95.5,5,25,EMA Break Exit,2025,2025-11,Tuesday,10,False
2025-11-26 10:50:00,2025-11-26 13:10:00,LONG,25243.75,25330.5,172.26,263.5,-35.5,28,140,EMA Break Exit,2025,2025-11,Wednesday,10,True
2025-11-26 15:10:00,2025-11-26 15:40:00,LONG,25355.0,25336.5,-38.24,10.5,-55.0,6,30,EMA Break Exit,2025,2025-11,Wednesday,15,False
2025-11-27 10:00:00,2025-11-27 10:05:00,SHORT,25295.5,25300.0,-10.24,3.0,-11.0,1,5,EMA Cross Stop,2025,2025-11,Thursday,10,False
2025-11-28 11:00:00,2025-11-28 11:25:00,LONG,25414.75,25389.0,-52.74,44.5,-94.5,5,25,EMA Break Exit,2025,2025-11,Friday,11,False
2025-11-28 11:55:00,2025-11-28 12:35:00,LONG,25426.75,25401.25,-52.24,26.5,-52.5,8,40,EMA Break Exit,2025,2025-11,Friday,11,False
2025-12-04 10:00:00,2025-12-04 10:35:00,SHORT,25567.0,25628.5,-124.24,94.0,-129.0,7,35,EMA Break Exit,2025,2025-12,Thursday,10,False
2025-12-04 11:10:00,2025-12-04 11:25:00,SHORT,25551.0,25583.0,-65.24,25.5,-93.0,3,15,EMA Break Exit,2025,2025-12,Thursday,11,False
2025-12-05 11:10:00,2025-12-05 11:55:00,SHORT,25706.5,25729.75,-47.74,111.0,-110.0,9,45,EMA Break Exit,2025,2025-12,Friday,11,False
2025-12-05 12:30:00,2025-12-05 12:55:00,SHORT,25684.0,25730.0,-93.24,38.0,-113.0,5,25,EMA Break Exit,2025,2025-12,Friday,12,False
2025-12-08 13:45:00,2025-12-08 15:25:00,SHORT,25617.75,25615.25,3.76,108.0,-15.0,20,100,EMA Break Exit,2025,2025-12,Monday,13,True
2025-12-09 12:05:00,2025-12-09 12:45:00,LONG,25724.0,25691.75,-65.74,4.5,-70.0,8,40,EMA Break Exit,2025,2025-12,Tuesday,12,False
2025-12-09 13:30:00,2025-12-09 13:35:00,LONG,25719.75,25713.25,-14.24,1.5,-26.5,1,5,EMA Cross Stop,2025,2025-12,Tuesday,13,False
2025-12-18 12:20:00,2025-12-18 12:45:00,SHORT,24967.0,25093.75,-254.74,21.0,-320.5,5,25,EMA Break Exit,2025,2025-12,Thursday,12,False
2025-12-18 13:00:00,2025-12-18 13:55:00,LONG,25084.25,25106.25,42.76,167.5,-1.0,11,55,EMA Break Exit,2025,2025-12,Thursday,13,True
2025-12-19 11:25:00,2025-12-19 13:35:00,LONG,25541.5,25565.5,46.76,112.0,-94.0,26,130,EMA Break Exit,2025,2025-12,Friday,11,True
2025-12-23 13:25:00,2025-12-23 15:55:00,LONG,25771.0,25811.5,79.76,98.5,-6.0,30,150,EOD Close,2025,2025-12,Tuesday,13,True
2025-12-30 11:25:00,2025-12-30 11:40:00,LONG,25774.0,25739.75,-69.74,6.0,-85.5,3,15,EMA Break Exit,2025,2025-12,Tuesday,11,False
2025-12-30 11:55:00,2025-12-30 12:35:00,SHORT,25719.75,25732.5,-26.74,40.5,-28.5,8,40,EMA Break Exit,2025,2025-12,Tuesday,11,False
2025-12-31 10:00:00,2025-12-31 11:55:00,SHORT,25611.25,25605.25,10.76,137.5,-13.5,23,115,EMA Break Exit,2025,2025-12,Wednesday,10,True
2026-01-02 10:00:00,2026-01-02 10:05:00,LONG,25739.25,25699.5,-80.74,4.0,-89.0,1,5,EMA Cross Stop,2026,2026-01,Friday,10,False
